layer,u,v,elinks
7, 2, 0, 9 
7, 2, 1, 6
7, 3, 0, 8
7, 3, 1, 9
7, 3, 2, 9
7, 4, 0, 5
7, 4, 1, 6
7, 4, 2, 6
7, 4, 3, 6
7, 5, 0, 4
7, 5, 1, 4
7, 5, 2, 5
7, 5, 3, 5
7, 5, 4, 4
7, 6, 0, 4
7, 6, 1, 4
7, 6, 2, 4
7, 6, 3, 4
7, 6, 4, 4
7, 6, 5, 4
7, 7, 0, 3
7, 7, 1, 4
7, 7, 2, 4
7, 7, 3, 4
7, 7, 4, 4
7, 7, 5, 4
7, 7, 6, 4
7, 8, 0, 3
7, 8, 1, 3
7, 8, 2, 3
7, 8, 3, 4
7, 8, 4, 4
7, 8, 5, 4
7, 8, 6, 3
7, 8, 7, 3
7, 9, 0, 0
7, 9, 1, 3
7, 9, 2, 3
7, 9, 3, 4
7, 9, 4, 3
7, 9, 5, 3
7, 9, 6, 4
7, 9, 7, 3
7, 9, 8, 3
7, 10, 2, 0
7, 10, 3, 2
7, 10, 4, 2
7, 10, 5, 2
7, 10, 6, 4
7, 10, 7, 2
7, 10, 8, 0
9, 2, 0, 8 
9, 2, 1, 6
9, 3, 0, 6
9, 3, 1, 8
9, 3, 2, 8
9, 4, 0, 5
9, 4, 1, 5
9, 4, 2, 5
9, 4, 3, 5
9, 5, 0, 4
9, 5, 1, 4
9, 5, 2, 4
9, 5, 3, 4
9, 5, 4, 4
9, 6, 0, 4
9, 6, 1, 4
9, 6, 2, 4
9, 6, 3, 4
9, 6, 4, 4
9, 6, 5, 4
9, 7, 0, 3
9, 7, 1, 4
9, 7, 2, 4
9, 7, 3, 4
9, 7, 4, 4
9, 7, 5, 4
9, 7, 6, 4
9, 8, 0, 2
9, 8, 1, 3
9, 8, 2, 3
9, 8, 3, 4
9, 8, 4, 4
9, 8, 5, 4
9, 8, 6, 3
9, 8, 7, 3
9, 9, 0, 1
9, 9, 1, 3
9, 9, 2, 2
9, 9, 3, 3
9, 9, 4, 4
9, 9, 5, 4
9, 9, 6, 4
9, 9, 7, 2
9, 9, 8, 3
9, 10, 2, 1
9, 10, 3, 3
9, 10, 4, 4
9, 10, 5, 4
9, 10, 6, 4
9, 10, 7, 4
9, 10, 8, 1
11, 2, 0, 7 
11, 2, 1, 5
11, 3, 0, 5
11, 3, 1, 6
11, 3, 2, 6
11, 4, 0, 4
11, 4, 1, 4
11, 4, 2, 4
11, 4, 3, 4
11, 5, 0, 4
11, 5, 1, 4
11, 5, 2, 4
11, 5, 3, 4
11, 5, 4, 4
11, 6, 0, 4
11, 6, 1, 4
11, 6, 2, 4
11, 6, 3, 4
11, 6, 4, 4
11, 6, 5, 4
11, 7, 0, 3
11, 7, 1, 4
11, 7, 2, 4
11, 7, 3, 4
11, 7, 4, 4
11, 7, 5, 4
11, 7, 6, 4
11, 8, 0, 2
11, 8, 1, 3
11, 8, 2, 3
11, 8, 3, 4
11, 8, 4, 4
11, 8, 5, 4
11, 8, 6, 3
11, 8, 7, 3
11, 9, 0, 1
11, 9, 1, 3
11, 9, 2, 2
11, 9, 3, 3
11, 9, 4, 4
11, 9, 5, 4
11, 9, 6, 4
11, 9, 7, 2
11, 9, 8, 3
11, 10, 2, 1
11, 10, 3, 3
11, 10, 4, 4
11, 10, 5, 4
11, 10, 6, 4
11, 10, 7, 4
11, 10, 8, 1
13, 2, 0, 6 
13, 2, 1, 5
13, 3, 0, 4
13, 3, 1, 5
13, 3, 2, 5
13, 4, 0, 4
13, 4, 1, 4
13, 4, 2, 4
13, 4, 3, 4
13, 5, 0, 4
13, 5, 1, 4
13, 5, 2, 4
13, 5, 3, 4
13, 5, 4, 4
13, 6, 0, 4
13, 6, 1, 4
13, 6, 2, 4
13, 6, 3, 4
13, 6, 4, 4
13, 6, 5, 4
13, 7, 0, 3
13, 7, 1, 4
13, 7, 2, 4
13, 7, 3, 4
13, 7, 4, 4
13, 7, 5, 4
13, 7, 6, 4
13, 8, 0, 2
13, 8, 1, 3
13, 8, 2, 3
13, 8, 3, 4
13, 8, 4, 4
13, 8, 5, 4
13, 8, 6, 3
13, 8, 7, 3
13, 9, 0, 1
13, 9, 1, 3
13, 9, 2, 2
13, 9, 3, 3
13, 9, 4, 4
13, 9, 5, 4
13, 9, 6, 4
13, 9, 7, 2
13, 9, 8, 3
13, 10, 2, 1
13, 10, 3, 3
13, 10, 4, 4
13, 10, 5, 4
13, 10, 6, 4
13, 10, 7, 4
13, 10, 8, 1
