plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld dataPp0 trigPp0 dataPp0_type trigPp0_type dataPp1 trigPp1 dataPp1_type trigPp1_type dataPp2 DAQ engine_trig_fibres engine_data_fibres engine_ctrl_fibres
1 1 2 dIe -0.002 290.016 4 5 -83.718 338.396 -83.729 316.578 83.695 316.564 83.705 338.382 0.047 386.682 -83.718 338.396 0.000 0.000 2 1.000 5.000 1.757 2.000 1.757 2.000 102 0 False 3 3.600 0 90.000 1 101020 101021 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_3 A B PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_3 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 4 2 2
1 1 3 FI -83.725 435.025 2 6 0.047 386.682 -0.018 483.368 -83.763 531.718 -167.442 483.382 -167.463 386.746 -83.718 338.396 0.047 386.682 2 1.000 8.000 2.841 3.000 3.392 4.000 102 0 False 6 7.200 0 100.894 1 101030 101031 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_3 A B PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_3 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 4 2 2
1 1 4 FI -167.438 580.028 2 6 -83.763 531.718 -83.742 628.355 -167.487 676.705 -251.166 628.368 -251.187 531.732 -167.442 483.382 -83.763 531.718 2 1.000 5.000 1.971 3.000 2.087 3.000 102 0 False 6 7.200 0 106.102 1 101040 101041 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_3 A B PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_3 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 4 2 2
1 1 5 FI -251.161 725.037 2 6 -167.487 676.705 -167.466 773.341 -251.210 821.691 -334.889 773.355 -334.910 676.718 -251.166 628.368 -167.487 676.705 2 1.000 4.000 1.479 2.000 1.507 2.000 102 0 True 6 7.200 0 109.107 1 101050 101051 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_3 A B PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_3 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 4 2 2
1 1 6 FO -334.883 870.046 2 6 -251.210 821.691 -251.139 918.414 -334.884 966.764 -418.613 918.341 -418.634 821.705 -334.889 773.355 -251.210 821.691 2 1.000 3.000 0.957 1.000 0.911 1.000 104 1 False 3 3.600 0 111.052 0 101060 101060 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 1 7 FO -418.605 1015.054 5 6 -334.884 966.764 -334.863 1063.400 -418.608 1111.750 -502.287 1063.414 -502.358 966.691 -418.613 918.341 -334.884 966.764 2 1.000 3.000 0.757 1.000 0.720 1.000 104 1 False 3 3.600 0 112.411 0 101070 101070 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 1 8 FO -502.328 1160.063 5 6 -418.608 1111.750 -418.587 1208.386 -502.331 1256.736 -586.010 1208.400 -586.031 1111.764 -502.287 1063.414 -418.608 1111.750 2 1.000 2.000 0.590 1.000 0.569 1.000 104 0 True 3 3.600 0 113.413 0 101080 101080 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 1 9 bOe -586.041 1305.066 3 5 -586.055 1401.723 -669.755 1256.750 -586.010 1208.400 -502.331 1256.736 -502.310 1353.373 -586.055 1401.723 0.000 0.000 2 1.000 2.000 0.376 1.000 0.376 1.000 104 0 False 3 3.600 0 114.183 0 101090 101090 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 2 0 gIe 334.880 0.000 3 6 334.900 96.700 316.000 85.800 316.000 -85.800 334.900 -96.700 418.600 -48.300 418.600 48.300 334.900 96.700 1 1.000 7.000 3.184 4.000 3.184 4.000 0 0 False 6 7.200 0 0.000 1 102000 102001 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 3 2 2
1 2 1 dIe 251.160 145.010 3 5 251.200 241.700 232.300 230.800 316.000 85.800 334.900 96.700 334.900 193.300 251.200 241.700 0.000 0.000 1 1.000 5.000 1.757 2.000 1.757 2.000 2 0 False 3 3.600 0 30.000 1 102010 102011 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_3 A B PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 4 2 2
